150	7	1	7	4
262	3	4	4	4
150	7	4	4	4
263	3	6	4	6
150	4	4	5	4
251	2	7	2	4
150	5	4	0	4
263	4	6	5	6
163	6	6	5	6
231	0	7	2	6
150	0	4	0	2
231	2	6	4	5
151	7	7	7	4
251	2	4	5	4
150	0	2	0	0
261	3	2	4	2
150	0	0	0	3
261	4	2	5	2
150	0	3	0	6
261	5	2	6	2
0	0	0	0	0
231	4	5	2	4
150	0	6	0	1
231	2	4	0	3
150	0	1	0	5
250	2	1	0	1
150	0	5	0	1
264	3	8	4	8
150	0	1	0	8
260	3	0	4	0
161	6	2	5	2
264	4	8	5	8
164	6	8	5	8
260	4	0	5	0
160	6	0	5	0
251	5	4	4	4
162	6	4	5	4
231	0	3	2	4
151	7	4	4	4
231	2	4	4	5
151	4	4	0	4
231	4	5	3	7
164	5	8	4	8
231	3	7	4	5
163	5	6	4	6
231	4	5	2	4
162	5	4	4	4
231	2	4	3	2
162	4	4	3	4
231	3	2	4	0
160	5	0	4	0
