151	7	7	7	4
251	2	7	2	4
131	9	7	7	6
231	0	7	2	6
141	9	8	9	7
230	0	1	2	2
141	9	7	3	7
241	0	8	2	8
141	3	7	3	6
250	2	1	2	0
150	7	1	7	3
211	0	5	1	4
161	6	2	5	2
240	0	0	0	1
130	9	1	7	2
240	0	1	4	1
130	7	2	5	3
261	3	2	4	2
161	5	2	4	2
240	4	1	4	2
140	9	0	9	1
250	2	0	6	0
140	9	1	5	1
250	6	0	9	0
130	5	3	7	2
230	2	2	4	3
140	5	1	5	0
230	4	3	6	4
131	7	6	6	4
251	2	4	6	4
111	9	5	8	4
240	4	2	7	2
140	5	0	9	0
240	7	2	7	3
140	9	0	6	0
251	6	4	4	4
140	6	0	6	4
240	7	3	2	3
151	7	4	4	4
262	3	4	4	4
140	6	4	4	4
241	2	8	2	7
140	4	4	4	6
211	1	4	0	5
141	3	6	3	0
240	2	3	9	3
100	9	4	9	3
241	2	7	9	7
0	0	0	0	0
0	0	0	0	0
100	9	4	9	3
231	2	6	4	7
164	6	8	5	8
231	4	7	6	8
140	4	6	0	6
241	2	7	2	3
100	9	3	9	4
241	2	3	8	3
141	3	0	3	4
210	0	3	1	4
100	9	4	9	5
231	6	8	7	6
100	9	5	8	5
231	7	6	9	7
140	0	6	0	5
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
