151	7	7	7	4
230	0	1	2	2
131	9	7	7	6
251	2	7	2	6
141	9	8	9	7
231	0	7	2	8
150	7	1	7	2
241	0	8	0	7
141	9	7	0	7
231	2	8	0	7
150	7	2	3	2
263	3	6	4	6
130	9	1	7	2
263	4	6	5	6
140	9	0	9	1
263	5	6	6	6
131	7	6	8	8
240	0	0	0	1
140	9	1	5	1
231	0	7	2	8
140	5	1	5	6
263	6	6	6	5
151	7	4	3	4
230	2	2	3	4
140	5	6	5	4
250	2	1	2	4
140	5	4	3	4
240	0	1	7	1
130	7	2	8	4
251	2	6	1	6
140	3	4	3	8
251	1	6	1	4
150	3	2	3	4
263	6	5	6	4
150	3	4	1	4
211	0	5	1	4
140	3	8	3	4
263	6	4	6	3
121	9	6	7	4
263	6	3	7	3
131	8	8	6	7
263	7	3	8	3
131	6	7	5	5
240	7	1	7	3
130	8	4	7	6
231	2	8	3	6
111	9	5	8	4
231	3	6	5	5
130	7	6	5	5
240	7	3	5	3
130	5	5	3	6
250	2	4	2	2
140	3	4	3	2
250	2	2	2	0
140	3	2	0	2
250	2	0	6	0
161	6	2	5	2
250	6	0	6	4
100	9	4	9	5
240	5	3	5	6
0	0	0	0	0
