151	7	7	7	4
251	2	7	2	4
131	9	7	7	6
250	2	1	2	3
111	9	5	8	4
231	0	7	2	6
141	9	8	9	7
230	0	1	2	2
150	7	1	7	2
263	3	6	4	6
141	9	7	3	7
231	2	6	4	5
151	7	4	3	4
210	0	3	1	4
151	3	4	5	4
240	0	0	0	1
141	3	7	3	2
200	0	4	0	3
150	7	2	7	3
231	4	5	5	3
141	3	2	5	2
230	2	2	4	1
141	5	2	5	1
250	2	3	7	3
111	8	4	7	3
251	2	4	2	1
141	5	1	5	2
241	0	8	2	8
141	5	2	4	2
241	2	8	2	6
161	6	2	5	2
221	0	6	2	4
141	4	2	4	1
231	5	3	3	4
130	9	1	7	2
263	4	6	5	6
141	4	1	4	3
200	0	3	0	4
140	9	0	9	1
263	5	6	6	6
131	7	6	8	4
263	6	6	7	6
140	9	1	3	1
231	3	4	5	5
140	3	1	3	3
220	0	2	2	0
130	7	2	5	1
263	7	6	8	6
120	9	2	7	4
263	8	6	8	5
120	7	4	5	6
231	5	5	7	6
130	5	1	3	0
241	2	6	5	6
130	3	0	2	2
231	7	6	6	4
140	3	3	0	3
240	0	1	0	3
141	4	3	0	3
0	0	0	0	0
141	4	3	0	3
